"year","company_name","service","adverse_decisions","grievance"
2021,"CIGNA Health and Life Insurance Company","laboratory radiology services",6699,198
2021,"CIGNA Health and Life Insurance Company","pharmacy services",5464,201
2021,"CIGNA Health and Life Insurance Company","pt ot st services incl inpat rehab ",3499,44
2021,"CIGNA Health and Life Insurance Company","skilled nurse facility sub acute nursing home",3,0
2021,"CIGNA Health and Life Insurance Company","durable medical equipment services",48,2
2021,"CIGNA Health and Life Insurance Company","dental",162,45
2021,"CIGNA Health and Life Insurance Company","home health services",85,1
2021,"CIGNA Health and Life Insurance Company","obesity ivf podiatry hearing and vision",35,1
2021,"CIGNA Health and Life Insurance Company",NA,NA,NA
2021,"CIGNA Health and Life Insurance Company",NA,NA,NA
2021,"CIGNA Health and Life Insurance Company",NA,NA,NA
2021,"CIGNA Health and Life Insurance Company",NA,NA,NA
2021,"Combined Insurance Company of America","inpatient hospital services",NA,0
2021,"Combined Insurance Company of America","emergency room services",NA,0
2021,"Combined Insurance Company of America","mental health services",NA,0
2021,"Combined Insurance Company of America","physician services",NA,0
2021,"Combined Insurance Company of America","laboratory radiology services",NA,0
2021,"Combined Insurance Company of America","pharmacy services",NA,0
2021,"Combined Insurance Company of America","pt ot st services incl inpat rehab ",NA,0
2021,"Combined Insurance Company of America","skilled nurse facility sub acute nursing home",NA,0
2021,"Combined Insurance Company of America","durable medical equipment services",NA,0
2021,"Combined Insurance Company of America","dental",NA,0
2021,"Combined Insurance Company of America","home health services",NA,0
2021,"Combined Insurance Company of America","obesity ivf podiatry hearing and vision",NA,7
2021,"Combined Insurance Company of America",NA,NA,NA
2021,"Combined Insurance Company of America",NA,NA,NA
2021,"Combined Insurance Company of America",NA,NA,NA
2021,"Combined Insurance Company of America",NA,NA,NA
2021,"Connecticut General Life Insurance Company","inpatient hospital services",0,NA
2021,"Connecticut General Life Insurance Company","emergency room services",0,NA
2021,"Connecticut General Life Insurance Company","mental health services",0,NA
2021,"Connecticut General Life Insurance Company","physician services",0,NA
2021,"Connecticut General Life Insurance Company","laboratory radiology services",4,NA
2021,"Connecticut General Life Insurance Company","pharmacy services",0,NA
2021,"Connecticut General Life Insurance Company","pt ot st services incl inpat rehab ",3,NA
2021,"Connecticut General Life Insurance Company","skilled nurse facility sub acute nursing home",0,NA
2021,"Connecticut General Life Insurance Company","durable medical equipment services",0,NA
2021,"Connecticut General Life Insurance Company","dental",0,NA
2021,"Connecticut General Life Insurance Company","home health services",0,NA
2021,"Connecticut General Life Insurance Company","obesity ivf podiatry hearing and vision",0,NA
2021,"Connecticut General Life Insurance Company",NA,NA,NA
2021,"Connecticut General Life Insurance Company",NA,NA,NA
2021,"Connecticut General Life Insurance Company",NA,NA,NA
2021,"Connecticut General Life Insurance Company",NA,NA,NA
2021,"Delta Dental Insurance Company","inpatient hospital services",0,0
2021,"Delta Dental Insurance Company","emergency room services",0,0
2021,"Delta Dental Insurance Company","mental health services",0,0
2021,"Delta Dental Insurance Company","physician services",0,0
2021,"Delta Dental Insurance Company","laboratory radiology services",0,0
2021,"Delta Dental Insurance Company","pharmacy services",0,0
2021,"Delta Dental Insurance Company","pt ot st services incl inpat rehab ",0,0
2021,"Delta Dental Insurance Company","skilled nurse facility sub acute nursing home",0,0
2021,"Delta Dental Insurance Company","durable medical equipment services",0,0
2021,"Delta Dental Insurance Company","dental",8,75
2021,"Delta Dental Insurance Company","home health services",0,0
2021,"Delta Dental Insurance Company","obesity ivf podiatry hearing and vision",0,0
2021,"Delta Dental Insurance Company",NA,NA,NA
2021,"Delta Dental Insurance Company",NA,NA,NA
2021,"Delta Dental Insurance Company",NA,NA,NA
2021,"Delta Dental Insurance Company",NA,NA,NA
2021,"Delta Dental of Pennsylvania","inpatient hospital services",0,0
2021,"Delta Dental of Pennsylvania","emergency room services",0,0
2021,"Delta Dental of Pennsylvania","mental health services",0,0
2021,"Delta Dental of Pennsylvania","physician services",0,0
2021,"Delta Dental of Pennsylvania","laboratory radiology services",0,0
2021,"Delta Dental of Pennsylvania","pharmacy services",0,0
2021,"Delta Dental of Pennsylvania","pt ot st services incl inpat rehab ",0,0
2021,"Delta Dental of Pennsylvania","skilled nurse facility sub acute nursing home",0,0
2021,"Delta Dental of Pennsylvania","durable medical equipment services",0,0
2021,"Delta Dental of Pennsylvania","dental",55,419
2021,"Delta Dental of Pennsylvania","home health services",0,0
2021,"Delta Dental of Pennsylvania","obesity ivf podiatry hearing and vision",0,0
2021,"Delta Dental of Pennsylvania",NA,NA,NA
2021,"Delta Dental of Pennsylvania",NA,NA,NA
2021,"Delta Dental of Pennsylvania",NA,NA,NA
2021,"Delta Dental of Pennsylvania",NA,NA,NA
2021,"Dentegra Insurance Company","inpatient hospital services",0,0
2021,"Dentegra Insurance Company","emergency room services",0,0
2021,"Dentegra Insurance Company","mental health services",0,0
2021,"Dentegra Insurance Company","physician services",0,0
2021,"Dentegra Insurance Company","laboratory radiology services",0,0
2021,"Dentegra Insurance Company","pharmacy services",0,0
2021,"Dentegra Insurance Company","pt ot st services incl inpat rehab ",0,0
2021,"Dentegra Insurance Company","skilled nurse facility sub acute nursing home",0,0
2021,"Dentegra Insurance Company","durable medical equipment services",0,0
2021,"Dentegra Insurance Company","dental",9,39
2021,"Dentegra Insurance Company","home health services",0,0
2021,"Dentegra Insurance Company","obesity ivf podiatry hearing and vision",0,0
2021,"Dentegra Insurance Company",NA,NA,NA
2021,"Dentegra Insurance Company",NA,NA,NA
2021,"Dentegra Insurance Company",NA,NA,NA
2021,"Dentegra Insurance Company",NA,NA,NA
2021,"Dental Network, Inc. The","inpatient hospital services",0,NA
2021,"Dental Network, Inc. The","emergency room services",0,NA
2021,"Dental Network, Inc. The","mental health services",0,NA
2021,"Dental Network, Inc. The","physician services",0,NA
2021,"Dental Network, Inc. The","laboratory radiology services",0,NA
2021,"Dental Network, Inc. The","pharmacy services",0,NA
2021,"Dental Network, Inc. The","pt ot st services incl inpat rehab ",0,NA
2021,"Dental Network, Inc. The","skilled nurse facility sub acute nursing home",0,NA
2021,"Dental Network, Inc. The","durable medical equipment services",0,NA
2021,"Dental Network, Inc. The","dental",9,NA
2021,"Dental Network, Inc. The","home health services",0,NA
2021,"Dental Network, Inc. The","obesity ivf podiatry hearing and vision",0,NA
2021,"Dental Network, Inc. The",NA,NA,NA
2021,"Dental Network, Inc. The",NA,NA,NA
2021,"Dental Network, Inc. The",NA,NA,NA
2021,"Dental Network, Inc. The",NA,NA,NA
2021,"Dominion Dental Services, Inc.","inpatient hospital services",0,0
2021,"Dominion Dental Services, Inc.","emergency room services",0,0
2021,"Dominion Dental Services, Inc.","mental health services",0,0
2021,"Dominion Dental Services, Inc.","physician services",0,1
2021,"Dominion Dental Services, Inc.","laboratory radiology services",0,2
2021,"Dominion Dental Services, Inc.","pharmacy services",0,0
2021,"Dominion Dental Services, Inc.","pt ot st services incl inpat rehab ",0,0
2021,"Dominion Dental Services, Inc.","skilled nurse facility sub acute nursing home",0,0
2021,"Dominion Dental Services, Inc.","durable medical equipment services",0,0
2021,"Dominion Dental Services, Inc.","dental",1111,153
2021,"Dominion Dental Services, Inc.","home health services",0,0
2021,"Dominion Dental Services, Inc.","obesity ivf podiatry hearing and vision",0,0
2021,"Dominion Dental Services, Inc.",NA,NA,NA
2021,"Dominion Dental Services, Inc.",NA,NA,NA
2021,"Dominion Dental Services, Inc.",NA,NA,NA
2021,"Dominion Dental Services, Inc.",NA,NA,NA
2021,"Express Scripts Insurance Company","inpatient hospital services",NA,NA
2021,"Express Scripts Insurance Company","emergency room services",NA,NA
2021,"Express Scripts Insurance Company","mental health services",NA,NA
2021,"Express Scripts Insurance Company","physician services",NA,NA
2021,"Express Scripts Insurance Company","laboratory radiology services",NA,NA
2021,"Express Scripts Insurance Company","pharmacy services",NA,NA
2021,"Express Scripts Insurance Company","pt ot st services incl inpat rehab ",NA,NA
2021,"Express Scripts Insurance Company","skilled nurse facility sub acute nursing home",NA,NA
2021,"Express Scripts Insurance Company","durable medical equipment services",NA,NA
2021,"Express Scripts Insurance Company","dental",NA,NA
2021,"Express Scripts Insurance Company","home health services",NA,NA
2021,"Express Scripts Insurance Company","obesity ivf podiatry hearing and vision",NA,NA
2021,"Express Scripts Insurance Company",NA,NA,NA
2021,"Express Scripts Insurance Company",NA,NA,NA
2021,"Express Scripts Insurance Company",NA,NA,NA
2021,"Express Scripts Insurance Company",NA,NA,NA
2021,"Golden Rule Insurance Company","inpatient hospital services",0,0
2021,"Golden Rule Insurance Company","emergency room services",0,0
2021,"Golden Rule Insurance Company","mental health services",5,1
2021,"Golden Rule Insurance Company","physician services",0,0
2021,"Golden Rule Insurance Company","laboratory radiology services",6,0
2021,"Golden Rule Insurance Company","pharmacy services",0,0
2021,"Golden Rule Insurance Company","pt ot st services incl inpat rehab ",0,0
2021,"Golden Rule Insurance Company","skilled nurse facility sub acute nursing home",0,0
2021,"Golden Rule Insurance Company","durable medical equipment services",0,0
2021,"Golden Rule Insurance Company","dental",0,0
2021,"Golden Rule Insurance Company","home health services",0,0
2021,"Golden Rule Insurance Company","obesity ivf podiatry hearing and vision",1,0
2021,"Golden Rule Insurance Company",NA,NA,NA
2021,"Golden Rule Insurance Company",NA,NA,NA
2021,"Golden Rule Insurance Company",NA,NA,NA
2021,"Golden Rule Insurance Company",NA,NA,NA
2021,"Group Dental Service of Maryland, Inc.","inpatient hospital services",0,0
2021,"Group Dental Service of Maryland, Inc.","emergency room services",0,0
2021,"Group Dental Service of Maryland, Inc.","mental health services",0,0
2021,"Group Dental Service of Maryland, Inc.","physician services",0,0
2021,"Group Dental Service of Maryland, Inc.","laboratory radiology services",0,0
2021,"Group Dental Service of Maryland, Inc.","pharmacy services",0,0
2021,"Group Dental Service of Maryland, Inc.","pt ot st services incl inpat rehab ",0,0
2021,"Group Dental Service of Maryland, Inc.","skilled nurse facility sub acute nursing home",0,0
2021,"Group Dental Service of Maryland, Inc.","durable medical equipment services",0,0
2021,"Group Dental Service of Maryland, Inc.","dental",1922,1
2021,"Group Dental Service of Maryland, Inc.","home health services",0,0
2021,"Group Dental Service of Maryland, Inc.","obesity ivf podiatry hearing and vision",0,0
2021,"Group Dental Service of Maryland, Inc.",NA,NA,NA
2021,"Group Dental Service of Maryland, Inc.",NA,NA,NA
2021,"Group Dental Service of Maryland, Inc.",NA,NA,NA
2021,"Group Dental Service of Maryland, Inc.",NA,NA,NA
2021,"Group Hospitalization and Medical Services, Inc.","inpatient hospital services",6,1
2021,"Group Hospitalization and Medical Services, Inc.","emergency room services",0,2
2021,"Group Hospitalization and Medical Services, Inc.","mental health services",39,4
2021,"Group Hospitalization and Medical Services, Inc.","physician services",199,24
2021,"Group Hospitalization and Medical Services, Inc.","laboratory radiology services",273,30
2021,"Group Hospitalization and Medical Services, Inc.","pharmacy services",4522,605
2021,"Group Hospitalization and Medical Services, Inc.","pt ot st services incl inpat rehab ",19,1
2021,"Group Hospitalization and Medical Services, Inc.","skilled nurse facility sub acute nursing home",0,0
2021,"Group Hospitalization and Medical Services, Inc.","durable medical equipment services",80,25
2021,"Group Hospitalization and Medical Services, Inc.","dental",373,95
2021,"Group Hospitalization and Medical Services, Inc.","home health services",4,0
2021,"Group Hospitalization and Medical Services, Inc.","obesity ivf podiatry hearing and vision",0,0
2021,"Group Hospitalization and Medical Services, Inc.",NA,NA,NA
2021,"Group Hospitalization and Medical Services, Inc.",NA,NA,NA
2021,"Group Hospitalization and Medical Services, Inc.",NA,NA,NA
2021,"Group Hospitalization and Medical Services, Inc.",NA,NA,NA
2021,"Guardian Life Insurance Company of America","inpatient hospital services",0,0
2021,"Guardian Life Insurance Company of America","emergency room services",0,0
2021,"Guardian Life Insurance Company of America","mental health services",0,0
2021,"Guardian Life Insurance Company of America","physician services",0,0
2021,"Guardian Life Insurance Company of America","laboratory radiology services",0,0
2021,"Guardian Life Insurance Company of America","pharmacy services",0,0
2021,"Guardian Life Insurance Company of America","pt ot st services incl inpat rehab ",0,0
2021,"Guardian Life Insurance Company of America","skilled nurse facility sub acute nursing home",0,0
2021,"Guardian Life Insurance Company of America","durable medical equipment services",0,0
2021,"Guardian Life Insurance Company of America","dental",1263,548
2021,"Guardian Life Insurance Company of America","home health services",0,0
2021,"Guardian Life Insurance Company of America","obesity ivf podiatry hearing and vision",0,0
2021,"Guardian Life Insurance Company of America",NA,NA,NA
2021,"Guardian Life Insurance Company of America",NA,NA,NA
2021,"Guardian Life Insurance Company of America",NA,NA,NA
2021,"Guardian Life Insurance Company of America",NA,NA,NA
2021,"Johns Hopkins HealthCare LLC","inpatient hospital services",16,9
2021,"Johns Hopkins HealthCare LLC","emergency room services",0,3
2021,"Johns Hopkins HealthCare LLC","mental health services",1,0
2021,"Johns Hopkins HealthCare LLC","physician services",19,5
2021,"Johns Hopkins HealthCare LLC","laboratory radiology services",15,12
2021,"Johns Hopkins HealthCare LLC","pharmacy services",4,10
2021,"Johns Hopkins HealthCare LLC","pt ot st services incl inpat rehab ",0,0
2021,"Johns Hopkins HealthCare LLC","skilled nurse facility sub acute nursing home",0,0
2021,"Johns Hopkins HealthCare LLC","durable medical equipment services",4,1
2021,"Johns Hopkins HealthCare LLC","dental",0,0
2021,"Johns Hopkins HealthCare LLC","home health services",0,0
2021,"Johns Hopkins HealthCare LLC","obesity ivf podiatry hearing and vision",31,0
2021,"Johns Hopkins HealthCare LLC",NA,NA,NA
2021,"Johns Hopkins HealthCare LLC",NA,NA,NA
2021,"Johns Hopkins HealthCare LLC",NA,NA,NA
2021,"Johns Hopkins HealthCare LLC",NA,NA,NA
2021,"Kaiser Foundation Health Plan-Mid-Atlantic States, Inc.","inpatient hospital services",33,8
2021,"Kaiser Foundation Health Plan-Mid-Atlantic States, Inc.","emergency room services",0,0
2021,"Kaiser Foundation Health Plan-Mid-Atlantic States, Inc.","mental health services",37,18
2021,"Kaiser Foundation Health Plan-Mid-Atlantic States, Inc.","physician services",165,22
2021,"Kaiser Foundation Health Plan-Mid-Atlantic States, Inc.","laboratory radiology services",21,1
2021,"Kaiser Foundation Health Plan-Mid-Atlantic States, Inc.","pharmacy services",0,1
2021,"Kaiser Foundation Health Plan-Mid-Atlantic States, Inc.","pt ot st services incl inpat rehab ",0,13
2021,"Kaiser Foundation Health Plan-Mid-Atlantic States, Inc.","skilled nurse facility sub acute nursing home",0,1
2021,"Kaiser Foundation Health Plan-Mid-Atlantic States, Inc.","durable medical equipment services",133,1
2021,"Kaiser Foundation Health Plan-Mid-Atlantic States, Inc.","dental",10,1
2021,"Kaiser Foundation Health Plan-Mid-Atlantic States, Inc.","home health services",11,0
2021,"Kaiser Foundation Health Plan-Mid-Atlantic States, Inc.","obesity ivf podiatry hearing and vision",311,14
2021,"Kaiser Foundation Health Plan-Mid-Atlantic States, Inc.",NA,NA,NA
2021,"Kaiser Foundation Health Plan-Mid-Atlantic States, Inc.",NA,NA,NA
2021,"Kaiser Foundation Health Plan-Mid-Atlantic States, Inc.",NA,NA,NA
2021,"Kaiser Foundation Health Plan-Mid-Atlantic States, Inc.",NA,NA,NA
2021,"Kaiser Permanente Insurance Company","inpatient hospital services",24,3
2021,"Kaiser Permanente Insurance Company","emergency room services",0,0
2021,"Kaiser Permanente Insurance Company","mental health services",0,0
2021,"Kaiser Permanente Insurance Company","physician services",18,3
2021,"Kaiser Permanente Insurance Company","laboratory radiology services",4,0
2021,"Kaiser Permanente Insurance Company","pharmacy services",0,0
2021,"Kaiser Permanente Insurance Company","pt ot st services incl inpat rehab ",0,2
2021,"Kaiser Permanente Insurance Company","skilled nurse facility sub acute nursing home",0,0
2021,"Kaiser Permanente Insurance Company","durable medical equipment services",0,0
2021,"Kaiser Permanente Insurance Company","dental",0,0
2021,"Kaiser Permanente Insurance Company","home health services",0,0
2021,"Kaiser Permanente Insurance Company","obesity ivf podiatry hearing and vision",0,0
2021,"Kaiser Permanente Insurance Company",NA,NA,NA
2021,"Kaiser Permanente Insurance Company",NA,NA,NA
